a,b,theta,R3,R4,A1,A2,E,E_p,E_t1,E_t2,machine_type,status,file_name
7.5,5.7,25.5,2.1,1.9,0,0.0,-55.34848039364442,-7.662134298821911,-9.638392957509495,-10.373712940490805,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.5_b=5.7_cx=0_cy=0_cz=0.log
7.4,5.7,25.5,2.1,1.9,0,-1.5,-55.82366610621102,-7.942003758857027,-9.7103670994984,-10.259462194750084,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.4_b=5.7_cx=0_cy=0_cz=0.log
7.5,5.8,25.5,2.1,1.9,0,-0.5,-55.69575321197044,-7.74807179311756,-9.693315142591018,-10.406489670276642,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.5_b=5.8_cx=0_cy=0_cz=0.log
7.5,5.8,25.5,2.1,1.9,0,0.0,-55.557668381836265,-7.701110199908726,-9.665192026877776,-10.412531964131633,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.5_b=5.8_cx=0_cy=0_cz=0.log
7.4,5.7,25.5,2.1,1.9,0,-2.0,-55.63794573605992,-8.00140134524554,-9.67996549489908,-10.13760602788534,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.4_b=5.7_cx=0_cy=0_cz=0.log
7.4,5.7,25.5,2.1,1.9,0,-2.5,-55.31066915113479,-8.046003501163796,-9.628466376801953,-9.980864697601646,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.4_b=5.7_cx=0_cy=0_cz=0.log
7.5,5.7,25.5,2.1,1.9,0,-1.5,-55.73650245729368,-7.942003758857027,-9.671446419262791,-10.25480105052702,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.5_b=5.7_cx=0_cy=0_cz=0.log
7.5,5.9,25.5,2.1,1.9,0,-0.5,-55.25138075137511,-7.528822309337556,-9.687078948365524,-10.409789117984474,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.5,5.9,25.5,2.1,1.9,0,0.0,-55.20825826388318,-7.52565087378025,-9.66280435147928,-10.41567390668206,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.5,5.7,25.5,2.1,1.9,0,-2.0,-55.58852053876035,-8.00140134524554,-9.642703323741443,-10.150155600393193,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.5_b=5.7_cx=0_cy=0_cz=0.log
7.5,5.7,25.5,2.1,1.9,0,-2.5,-55.31514957232866,-8.046003501163796,-9.596167809562758,-10.01540347543778,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.5_b=5.7_cx=0_cy=0_cz=0.log
7.3,5.6,25.5,2.1,1.9,0,-2.0,-54.55548596684821,-7.963568767532706,-9.491884432791268,-9.822289783100132,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.3_b=5.6_cx=0_cy=0_cz=0.log
7.4,5.6,25.5,2.1,1.9,0,-2.5,-54.84350176085718,-8.069651842932217,-9.529193667171056,-9.822905370325316,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.4_b=5.6_cx=0_cy=0_cz=0.log
7.4,5.6,25.5,2.1,1.9,0,-2.0,-55.07588126475457,-7.963568767532706,-9.583629532309716,-9.990742332534865,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.4_b=5.6_cx=0_cy=0_cz=0.log
7.5,5.6,25.5,2.1,1.9,0,-2.5,-55.04047966003418,-8.069651842932217,-9.539766583184246,-9.910821403900629,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.5_b=5.6_cx=0_cy=0_cz=0.log
7.5,5.6,25.5,2.1,1.9,0,-2.0,-55.21808130550198,-7.963568767532706,-9.58943776472006,-10.056034120498223,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.5_b=5.6_cx=0_cy=0_cz=0.log
7.6,5.6,25.5,2.1,1.9,0,-2.5,-54.920354165835306,-8.069651842932217,-9.479380668490194,-9.911144571495242,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.6_b=5.6_cx=0_cy=0_cz=0.log
7.6,5.7,25.5,2.1,1.9,0,-2.5,-55.03465511184186,-8.046003501163796,-9.500234708131757,-9.971089346625376,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.6_b=5.7_cx=0_cy=0_cz=0.log
7.6,5.8,25.5,2.1,1.9,0,-2.5,-54.63295835093595,-7.8215130537282676,-9.49520270555513,-9.999763416184578,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.6_b=5.8_cx=0_cy=0_cz=0.log
